title,published_at,channel_title,duration,view_count,like_count,comment_count,category
Daily Driving My Tank After Giving it a 1000HP Engine,2024-07-31 18:12:29+00:00,Westen Champlin,PT24M35S,706946,29684,886,Autos & Vehicles
Everything Wrong with AI,2024-07-31 16:58:58+00:00,gabi belle,PT36M17S,551156,39207,3958,Comedy
“Mask Girl” Actress Married A Chaebol Then Lost EVERYTHING,2024-07-31 20:11:08+00:00,Stephanie Soo,PT59M8S,498781,23607,1393,People & Blogs
I try every art form,2024-07-31 17:00:24+00:00,Brittany Broski,PT20M44S,576981,37740,1934,People & Blogs
Vince Vaughn Catches a Hot Streak While Eating Spicy Wings | Hot Ones,2024-08-01 15:00:38+00:00,First We Feast,PT26M4S,2193188,86127,7768,Entertainment
I made 1 guy fight ALL of Twitch Chat in TABS,2024-07-30 20:28:13+00:00,DougDoug,PT33M26S,1544933,81227,2789,Gaming
"Every Time You Score, the Angle Gets Tighter",2024-08-01 18:44:09+00:00,Chris Dixon,PT15M22S,558192,20860,311,People & Blogs
Arcadion M1S Guide - AAC Light-Heavyweight M1 Savage (Black Cat),2024-07-31 14:47:57+00:00,Hector Hectorson - Hector Lectures,PT14M50S,232257,4652,361,Gaming
BoyWithUke - Ghost (Official Music Video),2024-08-01 04:00:06+00:00,BoyWithUke,PT4M12S,247638,29268,5484,Music
Introducing The Wizarding World of Harry Potter™ - Ministry of Magic™,2024-07-31 12:30:42+00:00,Universal Orlando Resort,PT6M17S,508074,12626,1045,Travel & Events
DOORS: FLOOR 2 FULL TRAILER,2024-07-31 01:00:26+00:00,LSPLASH,PT1M3S,1911564,108324,19594,Gaming
"La Cracka x Foolio - ""50K"" (Official Music Video)",2024-07-30 19:30:07+00:00,La Cracka,PT2M17S,531872,29224,3346,People & Blogs
Squid Game: Season 2 | Date Announcement | Netflix,2024-07-31 23:00:00+00:00,Netflix,PT57S,3414446,121200,5546,Entertainment
