title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
Deadpool and Wolverine from the spooder-verse #deadpool #spooderman,2024-07-26 19:40:01+00:00,Laugh Over Life,PT14S,1973125,103166,1008,Film & Animation,14.0,0-5 min,19,Friday,40,19.666666666666668
Missy deserved better.,2024-07-26 19:44:09+00:00,CcJakoo,PT1M1S,4816848,337645,1830,Film & Animation,61.0,0-5 min,19,Friday,44,19.733333333333334
Only 1 person won Olympic Gold and an Oscar,2024-07-26 19:46:41+00:00,Pop Culture Brain - Shorts,PT59S,2360352,101955,552,Sports,59.0,0-5 min,19,Friday,46,19.766666666666666
Finally Revealing My HUGE Secret Project (Guidebook Pt. 1),2024-07-26 20:00:21+00:00,Moriah Elizabeth,PT45M4S,2436089,109273,12542,Entertainment,2704.0,20-60 min,20,Friday,0,20.0
Maybe that wasn’t such a good idea…😳😳,2024-07-26 20:00:22+00:00,Amp World,PT32S,7089402,160517,645,Film & Animation,32.0,0-5 min,20,Friday,0,20.0
fear,2024-07-26 20:20:40+00:00,Ice Cream Sandwich,PT6M33S,1189427,110452,4965,Comedy,393.0,5-10 min,20,Friday,20,20.333333333333332
Every person who's on the fence about voting for Trump needs to hear this,2024-07-26 20:45:01+00:00,Chicks on the Right ,PT59S,1420295,90271,3095,News & Politics,59.0,0-5 min,20,Friday,45,20.75
Tune Your F250 They Said #ford #shorts,2024-07-26 20:54:49+00:00,Flying Wrenches,PT1M,768226,29708,879,Autos & Vehicles,60.0,0-5 min,20,Friday,54,20.9
⁉️ Who Did Win | Ronaldo 🔴 Or Messi 🔵 Or Neymar Jr 🟡 #football #race #short #cr7 #messi #neymar,2024-07-26 20:58:27+00:00,AFGxFB_CLUB,PT29S,79761714,1948142,122695,Sports,29.0,0-5 min,20,Friday,58,20.966666666666665
Dad rating a stranger's accent 🤣 #Shorts,2024-07-26 21:00:10+00:00,mmmjoemele,PT31S,10503123,599680,1922,Film & Animation,31.0,0-5 min,21,Friday,0,21.0
The engine just vanished 🫢,2024-07-26 21:02:02+00:00,The Gabriels,PT46S,3751665,132782,1109,Autos & Vehicles,46.0,0-5 min,21,Friday,2,21.033333333333335
Bro Runs The Farm #jondeere #farming #farmer #tractor #amazing #yellowstone,2024-07-26 21:26:48+00:00,The Anchor Bowler,PT55S,4550321,165516,5067,Autos & Vehicles,55.0,0-5 min,21,Friday,26,21.433333333333334
PLAYING ROBLOX DRESS TO IMPRESS,2024-07-26 21:30:05+00:00,Sturniolo Triplets,PT27M42S,1513724,157010,14076,Comedy,1662.0,20-60 min,21,Friday,30,21.5
BREAKING! Immigrants Bused to Kamala Harris's HOME!,2024-07-26 21:33:20+00:00,Asobs,PT26S,1039540,41989,5872,News & Politics,26.0,0-5 min,21,Friday,33,21.55
Suni Lee trained on a beam her dad made her 🥹 #gymnast #sunilee #gymnastics #olympics #olympic,2024-07-26 21:49:20+00:00,Ian Gunther,PT11S,6957326,545933,989,Sports,11.0,0-5 min,21,Friday,49,21.816666666666666
Jim Harbaugh LOVES the offensive line! #shorts #jimharbaugh #chargers,2024-07-26 21:53:10+00:00,HangTime NFL,PT15S,875207,33212,311,Sports,15.0,0-5 min,21,Friday,53,21.883333333333333
The SUPER “Hero” Athlete be like 🤣🏀 @TeamVKTRY #nba #basketball #funny,2024-07-26 22:01:06+00:00,ColladoTV,PT59S,2205047,89471,442,Sports,59.0,0-5 min,22,Friday,1,22.016666666666666
Gillie Da Kid Cooked NLE 🤯🤣,2024-07-26 22:05:10+00:00,Josh Englert,PT24S,1202050,42457,1125,Sports,24.0,0-5 min,22,Friday,5,22.083333333333332
it be your own kids 😭 #fyp #funny #comedy,2024-07-26 22:40:56+00:00,Matt Sowards,PT32S,4560048,292271,3005,Film & Animation,32.0,0-5 min,22,Friday,40,22.666666666666668
Harriet Hageman's Most POWERFUL Moments,2024-07-26 23:18:02+00:00,Dave the Lawyer,PT1M,350040,28695,814,News & Politics,60.0,0-5 min,23,Friday,18,23.3
Woman lashes out at beachgoers,2024-07-26 23:28:53+00:00,ABC7,PT42S,4079768,99670,11710,News & Politics,42.0,0-5 min,23,Friday,28,23.466666666666665
DON’T THEY KNOW THERE’S ONLY 12 NUMBERS ON A CLOCK #shorts #comedy #relatable #bestfriend,2024-07-26 23:29:54+00:00,Peter Nguyen,PT47S,13268751,903353,5417,Film & Animation,47.0,0-5 min,23,Friday,29,23.483333333333334
Texas football is different 💯😤 #shorts,2024-07-27 00:00:14+00:00,247Sports,PT11S,712730,31657,772,Sports,11.0,0-5 min,0,Saturday,0,0.0
Crearon un trailer que te hace el trabajo fácil #trucks #trailers #camioneros #camiones #camion,2024-07-27 00:20:00+00:00,Simulation Community,PT27S,4630369,112393,396,Autos & Vehicles,27.0,0-5 min,0,Saturday,20,0.3333333333333333
#RyanReynolds & #HughJackman perform a song about Deadpool & Wolverine. #DeadpoolAndWolverine,2024-07-27 01:05:00+00:00,The Tonight Show Starring Jimmy Fallon,PT55S,4549787,367144,2696,Film & Animation,55.0,0-5 min,1,Saturday,5,1.0833333333333333
They Said They Were The Greatest Team Of All-Time...,2024-07-27 01:10:17+00:00,JxmyHighroller,PT16M1S,1541038,53627,5807,Sports,961.0,10-20 min,1,Saturday,10,1.1666666666666667
"Trump asked if protesters who burned American flags in D.C. ""are in jail like the Jan. 6 hostages?""",2024-07-27 01:24:13+00:00,The National Desk,PT50S,1351246,84554,3933,News & Politics,50.0,0-5 min,1,Saturday,24,1.4
Celine Dion's SHOWSTOPPING PERFORMANCE during opening ceremony 👑 | Olympic Games #Paris2024,2024-07-27 01:30:02+00:00,One Sports,PT3M46S,1695747,47647,3698,Sports,226.0,0-5 min,1,Saturday,30,1.5
ano kaya meron ss loob ng tent 😳🫣 #funny #ytshorts #justforfun #entertainment #goodvibes,2024-07-27 02:00:01+00:00,joeysacil vlog,PT22S,36584056,211122,545,Entertainment,22.0,0-5 min,2,Saturday,0,2.0
She took a thousand coupons for shopping. #short #shortvideo #subscribe ##viral,2024-07-27 02:00:33+00:00,Success Freedom Inspires,PT1M1S,7007368,680778,1696,Film & Animation,61.0,0-5 min,2,Saturday,0,2.0
Most Unfortunate Traffic Stop Ever,2024-07-27 02:04:56+00:00,The Public Services,PT59S,4235490,304006,9904,Autos & Vehicles,59.0,0-5 min,2,Saturday,4,2.066666666666667
Woody cutting up in my hellcat🔥    #hellcat #ysl #lilwoody #srt #srthellcat #ysltrial,2024-07-27 02:27:40+00:00,Slimzo,PT32S,361148,16885,359,Autos & Vehicles,32.0,0-5 min,2,Saturday,27,2.45
Marge's exhilarating revenge #simpsons #cartoon #shorts,2024-07-27 02:33:51+00:00,Simpsons Flash,PT56S,4208351,344673,849,Film & Animation,56.0,0-5 min,2,Saturday,33,2.55
Olympic Edition Z Flip6,2024-07-27 02:41:19+00:00,Parker Burton,PT1M,2529659,197821,810,Science & Technology,60.0,0-5 min,2,Saturday,41,2.6833333333333336
"⚠️ Cómo fue la DETENCIÓN de ""EL MAYO"" Zambada 🇲🇽💀",2024-07-27 02:55:18+00:00,Armapedia,PT26M10S,3157393,59923,2427,News & Politics,1570.0,20-60 min,2,Saturday,55,2.9166666666666665
Suits #Show,2024-07-27 04:03:45+00:00,Banq Official,PT1M,4460150,234121,308,Film & Animation,60.0,0-5 min,4,Saturday,3,4.05
"‘White women’ for Harris meeting raised millions, broke zoom",2024-07-27 04:05:39+00:00,NewsNation,PT57S,775485,27998,1824,News & Politics,57.0,0-5 min,4,Saturday,5,4.083333333333333
Y SE MARCHÓ...😳😅🏟 #humor #estadio #pareja #risas #tomateros,2024-07-27 06:02:19+00:00,Tomateros de Culiacán,PT18S,2082452,31689,645,Sports,18.0,0-5 min,6,Saturday,2,6.033333333333333
NRL 2024 | Broncos v Bulldogs | Match Highlights,2024-07-27 07:06:29+00:00,NRL - National Rugby League,PT4M59S,247547,2822,567,Sports,299.0,0-5 min,7,Saturday,6,7.1
He turned a Porsche into this😲🏎️ #automobile shorts #shortvideo,2024-07-27 08:45:03+00:00,Griffin Elliot,PT42S,1988074,47731,459,Autos & Vehicles,42.0,0-5 min,8,Saturday,45,8.75
Simone Didn’t Know She Was Adopted,2024-07-27 08:59:27+00:00,Call Her Daddy,PT51S,6667107,485708,1819,Entertainment,51.0,0-5 min,8,Saturday,59,8.983333333333333
The Last Boomboxes,2024-07-27 09:02:42+00:00,Techmoan,PT32M52S,298981,17086,1876,Science & Technology,1972.0,20-60 min,9,Saturday,2,9.033333333333333
Did you see the photo?,2024-07-27 09:11:25+00:00,Women Power,PT20S,37871770,801553,18193,Entertainment,20.0,0-5 min,9,Saturday,11,9.183333333333334
Choose a car for Dad ❤️ Ep. 43 #shorts #porsche #hellcat #mercedes #bugatti #dodge #supercar,2024-07-27 09:35:00+00:00,AutoRegionBA,PT13S,3939452,191921,12901,Autos & Vehicles,13.0,0-5 min,9,Saturday,35,9.583333333333334
You need to take this Class | Suzuki Gsxr1000r,2024-07-27 10:00:00+00:00,Dude_Mungus,PT13S,276122,11014,185,Autos & Vehicles,13.0,0-5 min,10,Saturday,0,10.0
Try not to laugh challenge Part 58. #shorts #funny #fails,2024-07-27 10:51:03+00:00,FUN UNIVERSE 2,PT50S,11578121,0,264,Film & Animation,50.0,0-5 min,10,Saturday,51,10.85
드럽게 비싸고 기능도 없는데.. 오직 '필기감'으로 아이패드를 발라버린 미친 태블릿 ㅋㅋ,2024-07-27 11:00:02+00:00,ITSub잇섭,PT18M9S,1208617,10833,1347,Science & Technology,1089.0,10-20 min,11,Saturday,0,11.0
Cancelled Celebrities’ Cars Container Jump,2024-07-27 11:00:06+00:00,AaronRheins2,PT53S,757266,31733,448,Autos & Vehicles,53.0,0-5 min,11,Saturday,0,11.0
Homer started a business...😅,2024-07-27 11:01:34+00:00,Simpsons Home,PT57S,6938114,489723,492,Film & Animation,57.0,0-5 min,11,Saturday,1,11.016666666666667
"Paris Olympics Opening Ceremony Sparks Outrage: ‘Disrespectful, Garbage’ | Paris Olympics 2024",2024-07-27 11:05:27+00:00,The Indian Express,PT1M46S,5038191,20975,16793,News & Politics,106.0,0-5 min,11,Saturday,5,11.083333333333334
Eleftherios Petrounias helped by Arthur Zanetti = epic gala moment ❤️,2024-07-27 11:48:16+00:00,Olympics,PT46S,31384792,927308,2288,Sports,46.0,0-5 min,11,Saturday,48,11.8
Domestic abusers is disguise are scary #movie #shirts #shorts,2024-07-27 12:00:06+00:00,FunnyClips,PT54S,4542587,387635,513,Film & Animation,54.0,0-5 min,12,Saturday,0,12.0
MAX REACTS: Mortal Kombat 1 Khaos Reigns Reveal Trailer + Kombat Pack 2,2024-07-27 12:02:41+00:00,Maximilian Dood,PT17M41S,501673,22192,4705,Gaming,1061.0,10-20 min,12,Saturday,2,12.033333333333333
Journalist tries to TRAP Tucker!,2024-07-27 12:12:39+00:00,RattlesnakeTV,PT1M,851178,63502,551,News & Politics,60.0,0-5 min,12,Saturday,12,12.2
We made a big mistake… #dad #truck #diesel,2024-07-27 12:17:18+00:00,Parker Pannell,PT23S,860579,10586,205,Autos & Vehicles,23.0,0-5 min,12,Saturday,17,12.283333333333333
Hamster Touch ID on an iPhone #shorts,2024-07-27 12:24:50+00:00,Shai Russo,PT23S,388078,22485,160,Science & Technology,23.0,0-5 min,12,Saturday,24,12.4
Can you 3D print glass? #3dprinting #design #shorts,2024-07-27 12:45:04+00:00,Play Conveyor,PT33S,1115728,53500,404,Science & Technology,33.0,0-5 min,12,Saturday,45,12.75
“HE’S A MONSTER!” Convicted Predator STILL Competing in the Olympics #shorts,2024-07-27 13:00:02+00:00,Philip DeFranco,PT1M,2756331,126035,6214,Sports,60.0,0-5 min,13,Saturday,0,13.0
Guess who's hurt #hurt #injury #relatable #bestfriend #guess #shorts #short,2024-07-27 13:00:06+00:00,Katy and Joseph,PT14S,16977366,636379,23670,Entertainment,14.0,0-5 min,13,Saturday,0,13.0
Olympic Mini Games Battle,2024-07-27 14:00:01+00:00,Dude Perfect,PT16M23S,4371600,111879,2387,Sports,983.0,10-20 min,14,Saturday,0,14.0
Automated Barrier Elimates All Traffic,2024-07-27 14:00:10+00:00,Tech Moments,PT15S,9341893,156853,1432,Autos & Vehicles,15.0,0-5 min,14,Saturday,0,14.0
Full Build: From Rusted Out 1961 Chevy Impala to Revved Up Red Sled,2024-07-27 14:00:15+00:00,POWERNATION,PT1H55M16S,705252,10581,413,Autos & Vehicles,6916.0,60-120 min,14,Saturday,0,14.0
I Made a Movie With Amazon's Cheapest Camera,2024-07-27 14:00:45+00:00,Isaac Carlton,PT12M8S,555790,15494,751,Science & Technology,728.0,10-20 min,14,Saturday,0,14.0
Could you beat Adam Peaty?,2024-07-27 14:00:50+00:00,Propulsion Swimming,PT54S,48600586,1510747,2130,Sports,54.0,0-5 min,14,Saturday,0,14.0
They challenged their coach!,2024-07-27 14:15:01+00:00,Clark,PT23S,9597412,231287,534,Sports,23.0,0-5 min,14,Saturday,15,14.25
Car Alignment With A 3D Scanner,2024-07-27 14:54:06+00:00,SuperfastMatt,PT15M35S,143965,10275,465,Science & Technology,935.0,10-20 min,14,Saturday,54,14.9
"I Took My Mini Moto into ""The Death Tunnels""",2024-07-27 15:00:02+00:00,Sur Ronster,PT26M9S,2133760,35721,3504,Autos & Vehicles,1569.0,20-60 min,15,Saturday,0,15.0
Back to Van Life + a big announcement!,2024-07-27 15:00:17+00:00,Kara and Nate,PT38M32S,1152457,43353,3936,Travel & Events,2312.0,20-60 min,15,Saturday,0,15.0
I'll Peel Away your Qualified Immunity #copdismissed #1stamendmentaudits #shorts,2024-07-27 15:00:19+00:00,TyrantClowns,PT44S,3309604,149614,4035,Entertainment,44.0,0-5 min,15,Saturday,0,15.0
I Survived 100 Days on the Lifesteal SMP…,2024-07-27 15:18:59+00:00,SB737,PT51M25S,1157350,36895,3840,Gaming,3085.0,20-60 min,15,Saturday,18,15.3
when Herb Dean Proved Joe Rogan Wrong,2024-07-27 15:20:35+00:00,LIFECKECK MMA,PT58S,1427040,58032,1561,Sports,58.0,0-5 min,15,Saturday,20,15.333333333333334
Isso não é Gol 😱 Isso é Uma Pintura 🎨🖼️ 🔥⚽#futbol #futebol #soccer #football #arte #skills,2024-07-27 15:31:22+00:00,Jogador Caro ⚽🔥,PT1M1S,12724268,271611,543,Sports,61.0,0-5 min,15,Saturday,31,15.516666666666667
'Bottle of Water' in a British Accent🤣Sound:@MeowsiculononlyonYT #shorts #comedy #funny #satisfying,2024-07-27 15:40:42+00:00,Wings of Humor,PT18S,7289251,183689,4614,Film & Animation,18.0,0-5 min,15,Saturday,40,15.666666666666666
41.03 seconds is 100*4 really finishing resh this season for 👌 I  hope they get a good Richardson,2024-07-27 15:43:18+00:00,Raju Runnar bhilwara,PT51S,1443266,64979,1024,Sports,51.0,0-5 min,15,Saturday,43,15.716666666666667
Fallout London - Before You Buy,2024-07-27 15:56:47+00:00,gameranx,PT14M26S,1550514,44833,3631,Gaming,866.0,10-20 min,15,Saturday,56,15.933333333333334
Customer care means everything to Appa!,2024-07-27 16:00:04+00:00,CBC,PT58S,10731917,892580,2765,Film & Animation,58.0,0-5 min,16,Saturday,0,16.0
The Pit Stop AS9 E12 🏁 | Bob The Drag Queen & Katya Take Over! 👑 | RuPaul’s Drag Race AS9,2024-07-27 16:00:20+00:00,RuPaul's Drag Race,PT34M50S,972641,40496,3198,Entertainment,2090.0,20-60 min,16,Saturday,0,16.0
Kai Cenat tries to SAVE SZA's Life 🤯🫢,2024-07-27 16:17:13+00:00,SZA Global,PT13S,5926096,361468,1233,Entertainment,13.0,0-5 min,16,Saturday,17,16.283333333333335
Crazy reflexes 😱 #fyp #viral video #viral shorts #dog #pitbull #puppy #highlights #athlete,2024-07-27 16:54:05+00:00,Touch of dominance dog training,PT15S,8145601,383899,3306,Entertainment,15.0,0-5 min,16,Saturday,54,16.9
Mall cops don’t like Dirtbikes!,2024-07-27 17:00:19+00:00,CboysTV,PT18S,4982966,134310,719,Autos & Vehicles,18.0,0-5 min,17,Saturday,0,17.0
Minecraft but I SAVE The Village... (From Grox),2024-07-27 17:00:33+00:00,JoofyLooby,PT22M2S,671034,14442,1118,Gaming,1322.0,20-60 min,17,Saturday,0,17.0
Robin Williams being difficult ft Joe Rogan  #shorts,2024-07-27 17:15:03+00:00,AwsAmazing,PT57S,3055704,152738,2252,Film & Animation,57.0,0-5 min,17,Saturday,15,17.25
Can You Beat Zelda without Touching Colors?,2024-07-27 17:56:40+00:00,PointCrow,PT36M10S,596979,27386,1044,Gaming,2170.0,20-60 min,17,Saturday,56,17.933333333333334
Have you tried f***? | Parks and Recreation,2024-07-27 18:00:07+00:00,Parks and Recreation,PT41S,2388452,129222,218,Film & Animation,41.0,0-5 min,18,Saturday,0,18.0
DO NOT BUY NISSAN SENTRAS,2024-07-27 18:00:18+00:00,Caleb Hammer,PT21S,1230693,36561,872,Autos & Vehicles,21.0,0-5 min,18,Saturday,0,18.0
Going on a Date w/ My Childhood Crush (15 Years Later),2024-07-27 18:00:30+00:00,loveliveserve,PT24M41S,1193636,48117,1499,Entertainment,1481.0,20-60 min,18,Saturday,0,18.0
NEW Sea Tower - The MERMONKEY Has Arrived! (Bloons TD 6),2024-07-27 18:10:00+00:00,ISAB,PT22M53S,606444,21955,1443,Gaming,1373.0,20-60 min,18,Saturday,10,18.166666666666668
what fuels #ParisOlympics champions ⁉️,2024-07-27 18:30:02+00:00,Saturday Night Live,PT56S,769004,17757,421,Sports,56.0,0-5 min,18,Saturday,30,18.5
I Made a GameCube Gaming PC,2024-07-27 18:38:44+00:00,Odd Tinkering,PT19M27S,172926,10708,467,Science & Technology,1167.0,10-20 min,18,Saturday,38,18.633333333333333
He was in a coma for 10 years EPIC PRANK (@TOPNOTCHIDIOTS ),2024-07-27 18:45:00+00:00,Nox Jackson,PT57S,11399425,802288,4281,Entertainment,57.0,0-5 min,18,Saturday,45,18.75
Nintendo Switch On Smart Watch?,2024-07-27 19:00:09+00:00,EmSwizzle,PT31S,1013451,39310,141,Science & Technology,31.0,0-5 min,19,Saturday,0,19.0
Lady Gaga - Mon Truc en Plumes (Live from The 2024 Paris Olympics),2024-07-27 19:00:10+00:00,Lady Gaga,PT5M3S,2461023,75357,5676,Music,303.0,5-10 min,19,Saturday,0,19.0
Who'll paint Speed's car? 🎨🚗,2024-07-27 19:00:15+00:00,Danny,PT37S,7929139,211370,539,Film & Animation,37.0,0-5 min,19,Saturday,0,19.0
Inside The Wraith,2024-07-27 19:00:34+00:00,Jay Leno's Garage,PT19S,1159338,42566,530,Autos & Vehicles,19.0,0-5 min,19,Saturday,0,19.0
Simple way to remove a dent from a car #shortsfeed #shorts,2024-07-27 19:40:48+00:00,Facts By Christopher,PT19S,600823,7712,70,Autos & Vehicles,19.0,0-5 min,19,Saturday,40,19.666666666666668
What Really Happened At VidCon...,2024-07-27 20:00:08+00:00,KREW,PT57M58S,711509,38149,8682,Entertainment,3478.0,20-60 min,20,Saturday,0,20.0
Movie name: Black and Blue. #BlackandBlue #mustwatch #aimovie #tvprogram #ytchannel #ytshortsvideo,2024-07-27 20:55:13+00:00,Inge Dedecker,PT1M1S,1342322,65622,400,Film & Animation,61.0,0-5 min,20,Saturday,55,20.916666666666668
First Look | Star Trek: Strange New Worlds - Season 3 | StarTrek.com,2024-07-27 20:59:49+00:00,Star Trek,PT5M4S,875421,18562,2705,Entertainment,304.0,5-10 min,20,Saturday,59,20.983333333333334
A.J. Terrell Got Cooked💀#shorts,2024-07-27 21:00:09+00:00,RyanSports9,PT49S,430727,26083,561,Sports,49.0,0-5 min,21,Saturday,0,21.0
"Bobby ""King"" Green: ""My UFC weigh in INCIDENT ""🥵 #ufc  #mma #bobbygreen #ufc304",2024-07-27 21:00:16+00:00,Clean Combat,PT35S,1446233,69208,409,Sports,35.0,0-5 min,21,Saturday,0,21.0
AD tricked everyone 👻 Team LeBron vs Team Giannis Ending #nba #shorts,2024-07-27 21:23:46+00:00,Frontcourt,PT1M1S,929391,43072,143,Sports,61.0,0-5 min,21,Saturday,23,21.383333333333333
Khabib’s LEAKED In-Fight Conor McGregor Roast,2024-07-27 21:34:26+00:00,Fight Form ,PT33S,1948343,45811,1258,Sports,33.0,0-5 min,21,Saturday,34,21.566666666666666
Making my bones UNBREAKABLE with real-life NANOTECH!,2024-07-27 21:37:41+00:00,Hacksmith Industries,PT43M1S,2042898,83273,3737,Science & Technology,2581.0,20-60 min,21,Saturday,37,21.616666666666667
These wannabe vampires these days. 🧛🦇,2024-07-27 21:41:58+00:00,CinemaTV,PT34S,6857130,388730,1365,Film & Animation,34.0,0-5 min,21,Saturday,41,21.683333333333334
"Want to hit the range together, bud? 🤣",2024-07-27 22:00:12+00:00,We The People Holsters,PT25S,4626806,177815,4150,Entertainment,25.0,0-5 min,22,Saturday,0,22.0
Unbelievable Trucker Sends Biker Flying Off Highway!,2024-07-27 22:00:35+00:00,RazerIsGaming,PT30S,5919535,162842,10890,Autos & Vehicles,30.0,0-5 min,22,Saturday,0,22.0
I Moved To New York City,2024-07-27 22:11:19+00:00,Duke Dennis,PT18M53S,1179695,43382,1683,Entertainment,1133.0,10-20 min,22,Saturday,11,22.183333333333334
Man Shot in the Head Crawls 2 Miles for Help,2024-07-27 22:29:14+00:00,EWU Bodycam,PT23M5S,1155842,25550,2746,News & Politics,1385.0,20-60 min,22,Saturday,29,22.483333333333334
Brian and Stewie joined the army😳 #familyguy,2024-07-27 22:33:05+00:00,Movie Wrap,PT57S,17982919,1480959,1540,Film & Animation,57.0,0-5 min,22,Saturday,33,22.55
Sis helped little bro escape Karen 😂 @marrkadams89,2024-07-27 23:55:22+00:00,No Joke,PT29S,5541122,69833,335,Film & Animation,29.0,0-5 min,23,Saturday,55,23.916666666666668
Toyota's GENIUS Strategy Behind Launching LEXUS,2024-07-28 00:01:19+00:00,Abundance Wisdom,PT47S,8821759,480564,2457,Autos & Vehicles,47.0,0-5 min,0,Sunday,1,0.016666666666666666
Tesla autopilot’s big update doesnt make you touch the wheel AT ALL #carterpcs #tech #techtok,2024-07-28 00:04:04+00:00,CarterPCs,PT43S,1328064,125857,608,Autos & Vehicles,43.0,0-5 min,0,Sunday,4,0.06666666666666667
"POP SONG REVIEW: ""Not Like Us"" by Kendrick Lamar",2024-07-28 00:28:55+00:00,Todd in the Shadows,PT26M37S,423963,24390,3891,People & Blogs,1597.0,20-60 min,0,Sunday,28,0.4666666666666667
MADNESS AT YANKEE STADIUM 🏟️ Manchester City vs. AC Milan | Highlights | ESPN FC,2024-07-28 00:33:47+00:00,ESPN FC,PT9M39S,474323,3851,531,Sports,579.0,5-10 min,0,Sunday,33,0.55
Meet the Vampire Lestat ft. Sam Reid | Interview with the Vampire | New Season | AMC+,2024-07-28 00:41:20+00:00,amc+,PT4M14S,328322,23954,2518,Entertainment,254.0,0-5 min,0,Sunday,41,0.6833333333333333
Reckless Driver Gets Instant Karma #dashcam #karma #police,2024-07-28 00:51:44+00:00,Cars Daily,PT19S,192123,0,143,Autos & Vehicles,19.0,0-5 min,0,Sunday,51,0.85
See how the iron pipe is being cut#shorts #viralvideo #mechancial #mecanical #automobile #diy,2024-07-28 01:00:34+00:00,Mechanic BD,PT30S,3215990,14293,239,Autos & Vehicles,30.0,0-5 min,1,Sunday,0,1.0
"TEAM MARK vs TEAM DUKE DENNIS 5V5 BASKETBALL GAME! Ft. Ray, PlaqueBoyMax, Ludwig, and MORE!",2024-07-28 01:50:26+00:00,Creator League,PT1H38M50S,1505689,33366,1870,Sports,5930.0,60-120 min,1,Sunday,50,1.8333333333333335
【格鬥巔峰】細節滿滿！ 慢動作看“大力鼠”是如何秀翻對手的#擂臺#格鬥#同台競技#shorts,2024-07-28 02:00:08+00:00,格斗巅峰,PT11S,5244994,163752,1994,Sports,11.0,0-5 min,2,Sunday,0,2.0
Heroic SDRF Jawan Rescues Drowning Man in Haridwar #ViralVideo #Shorts,2024-07-28 02:30:14+00:00,Asianet Newsable,PT15S,33661065,883193,3320,News & Politics,15.0,0-5 min,2,Sunday,30,2.5
Perfectly bad timing 🤦🏽‍♂️😂,2024-07-28 03:16:01+00:00,Clutchkidd,PT22S,1179685,71905,255,Autos & Vehicles,22.0,0-5 min,3,Sunday,16,3.2666666666666666
MARVEL COMIC-CON 2024 ENDING ANNOUNCEMENT! (RDJ IS BACK!),2024-07-28 03:44:23+00:00,SUPES,PT5M10S,295324,10553,783,Film & Animation,310.0,5-10 min,3,Sunday,44,3.7333333333333334
Fender rolling on a budget… IG: @_monsieurmoses,2024-07-28 04:15:10+00:00,SUBIEWOO,PT24S,799749,0,643,Autos & Vehicles,24.0,0-5 min,4,Sunday,15,4.25
Girl Made E-bike From Scraps of Wood homemade #woodworking,2024-07-28 04:20:07+00:00,ND-WoodArt,PT1M,13671051,252171,449,Autos & Vehicles,60.0,0-5 min,4,Sunday,20,4.333333333333333
Avengers Doomsday Announced Robert Downey Jr Is Doctor Doom (Comic Con Panel),2024-07-28 04:29:45+00:00,3C Films,PT12M29S,282680,13726,2721,Entertainment,749.0,10-20 min,4,Sunday,29,4.483333333333333
Tom Aspinall vs Curtis Blaydes KO,2024-07-28 04:31:40+00:00,Gabriel Varga,PT1M22S,428125,2010,746,Entertainment,82.0,0-5 min,4,Sunday,31,4.516666666666667
DOGPOOL 🖤❤️ #deadpool #deadpoolmovie #deadpool3,2024-07-28 05:43:52+00:00,Benjin,PT20S,3474014,227004,1486,Film & Animation,20.0,0-5 min,5,Sunday,43,5.716666666666667
Dana White: 'I’m never upping the f****g bonuses again' | UFC 304 Post Fight Press Conference,2024-07-28 06:00:08+00:00,TheMacLife,PT23M27S,1265722,14332,8620,Sports,1407.0,20-60 min,6,Sunday,0,6.0
The Sharpshooter Who Became a Legend,2024-07-28 07:30:33+00:00,CineSavvy,PT1M,6574578,497586,453,Film & Animation,60.0,0-5 min,7,Sunday,30,7.5
Are Football players the most athletic? #shorts @ClubShayShay,2024-07-28 09:08:57+00:00,EC,PT32S,805904,62383,2599,Sports,32.0,0-5 min,9,Sunday,8,9.133333333333333
সরকারি ফ্রি 5GB ইন্টারনেট কিভাবে নিবেন|How to get government 5GB internet free,2024-07-28 09:17:18+00:00,SR Basic Tech,PT2M6S,184516,2933,414,Science & Technology,126.0,0-5 min,9,Sunday,17,9.283333333333333
😥 Respect 🙏👍 | Уважение таким людям / Часть 8 🙏 #respect #уважение #people #люди,2024-07-28 09:24:58+00:00,🌟Alex_Art26🌟,PT1M,6838641,288458,1528,Sports,60.0,0-5 min,9,Sunday,24,9.4
Neden yüzünü saklıyor,2024-07-28 09:42:55+00:00,H. DANIŞIK,PT19S,32505465,333252,252,Entertainment,19.0,0-5 min,9,Sunday,42,9.7
Part 5 #entertainment #fypシ゚viral #tvshow #film #fypyoutube,2024-07-28 11:03:30+00:00,HomeCinema,PT1M1S,3204128,185520,116,Film & Animation,61.0,0-5 min,11,Sunday,3,11.05
I Bought 1 Star Home Depot Tools,2024-07-28 11:12:00+00:00,John Malecki Unscrewed,PT22M50S,428308,10322,1211,Howto & Style,1370.0,20-60 min,11,Sunday,12,11.2
The curse of tin whiskers rears its head again,2024-07-28 11:50:34+00:00,bigclivedotcom,PT8M48S,91555,5623,707,Science & Technology,528.0,5-10 min,11,Sunday,50,11.833333333333334
FOUR-WEIGHT WORLD CHAMP | Claressa Shields vs. Vanessa Joanisse Fight Highlights,2024-07-28 11:54:38+00:00,DAZN Boxing,PT13M57S,1313239,21867,4446,Sports,837.0,10-20 min,11,Sunday,54,11.9
When Two Worlds Collide 😱@davidmatthew_ @NickandCarrie #shortsfeed,2024-07-28 12:00:12+00:00,MiniMoochi,PT20S,19438269,1060204,7272,Film & Animation,20.0,0-5 min,12,Sunday,0,12.0
