title,published_at,channel_title,duration,view_count,like_count,comment_count,category,duration_seconds,duration_range,publish_hour,publish_day_of_week,publish_minute,publish_time
"Captain America: Brave New World | Official Teaser | In Theaters February 14, 2025",2024-07-12 13:00:02+00:00,Marvel Entertainment,PT1M49S,18713069,514212,41669,Entertainment,109.0,0-5 min,13,Friday,0,13.0
KTM X-BOW: Ultimate Race Car legal for Public Roads,2024-07-12 13:02:51+00:00,9EPIC,PT10S,8371875,433538,7764,Autos & Vehicles,10.0,0-5 min,13,Friday,2,13.033333333333333
Just Connect Your TV and Watch All the World's Channels in Full HD Format,2024-07-12 13:30:08+00:00,Creative Passion 88,PT14M45S,2032392,19854,1859,Science & Technology,885.0,10-20 min,13,Friday,30,13.5
HUMILDADE NO TRÂNSITO #3,2024-07-12 15:46:31+00:00,Smith Da Xj6,PT1M1S,60824830,2258279,5814,Autos & Vehicles,61.0,0-5 min,15,Friday,46,15.766666666666667
"50 YouTubers Fight For $1,000,000",2024-07-13 16:00:01+00:00,MrBeast,PT41M27S,210350440,8198311,378705,Entertainment,2487.0,20-60 min,16,Saturday,0,16.0
Utilizan tantos teléfonos móviles para fines específicos,2024-07-13 16:41:23+00:00,Habitación 15,PT42S,2435084,68348,918,Science & Technology,42.0,0-5 min,16,Saturday,41,16.683333333333334
I’m sorry! I thought it was pretty creative? How about another 10 PRINT loop on the apple IIe #80s,2024-07-13 16:55:45+00:00,Ashton’s Retro Computer Room,PT12S,5312957,329812,3019,Science & Technology,12.0,0-5 min,16,Saturday,55,16.916666666666668
CYBERTRUCK vs Corvette C4 On Track! #tesla #chevrolet #race @Kruser74,2024-07-13 20:25:16+00:00,MSAutoSnap,PT47S,6907397,345170,5992,Autos & Vehicles,47.0,0-5 min,20,Saturday,25,20.416666666666668
il caldo fa brutti scherzi #dog #fight #punch,2024-07-14 14:27:41+00:00,Cronache della Campania,PT18S,19336486,643225,39438,Entertainment,18.0,0-5 min,14,Sunday,27,14.45
My New Model 3 Performance Almost Ran Out of Battery 😳😱,2024-07-14 18:00:08+00:00,Tesla Flex,PT24S,29185151,1212423,5302,Autos & Vehicles,24.0,0-5 min,18,Sunday,0,18.0
#mechanical#heavy bike mechanic#are loader motorcycle#heavy bikes all #automobile #motorbike,2024-07-15 16:35:30+00:00,Zulfiqar Ali 1,PT58S,36207476,383071,862,Autos & Vehicles,58.0,0-5 min,16,Monday,35,16.583333333333332
Will someone score in the end? (@michaelcorradi via TT),2024-07-15 17:12:00+00:00,Mr. Fascinavo,PT47S,19150853,568559,437,Sports,47.0,0-5 min,17,Monday,12,17.2
iBook + iPad = Apple turnover,2024-07-15 20:04:49+00:00,Billy Skipper Hughes,PT10S,127727,8191,172,Science & Technology,10.0,0-5 min,20,Monday,4,20.066666666666666
Leaders condemn violence against utility workers,2024-07-16 02:42:38+00:00,ABC13 Houston,PT58S,3945679,154763,18167,News & Politics,58.0,0-5 min,2,Tuesday,42,2.7
Don't miss the end | Seriously dude |  Goosebumps moment on internet😳😱😱🔥#basketball #jump #wonderful,2024-07-16 12:05:28+00:00,Siam Simte23,PT18S,14869297,1154560,8492,Sports,18.0,0-5 min,12,Tuesday,5,12.083333333333334
Privacy on iPhone | Flock | Apple,2024-07-16 16:00:23+00:00,Apple,PT1M49S,13168026,28662,0,Science & Technology,109.0,0-5 min,16,Tuesday,0,16.0
My New Gaming Phone 😍,2024-07-17 02:30:28+00:00,Sourav Joshi Vlogs,PT10M24S,6105784,270502,9453,Science & Technology,624.0,10-20 min,2,Wednesday,30,2.5
